"","race","age","yeardth","rate","count","pop","yearbth","mod","modnotreat","modcrazytreat"
"839","Black",22.5,1970,0,0,1843472,1947.5,0,0,0
"840","White",22.5,1970,0,0,14484987,1947.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"841","Black",27.5,1975,0,0,1843246,1947.5,0,0,0
"842","White",27.5,1975,0,0,14979915,1947.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"843","Black",32.5,1980,0,0,1928198,1947.5,0,0,0
"844","White",32.5,1980,0,0,15296869,1947.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"845","Black",37.5,1985,0,0,1902699,1947.5,4.84308738035645e-07,4.90452891900445e-07,4.63067645602128e-07
"846","White",37.5,1985,0,0,15078978,1947.5,1.40861585406211e-07,1.42067697674902e-07,1.39939123776132e-07
"847","Black",42.5,1990,0,0,1913815,1947.5,1.95673237737578e-06,2.03934972929586e-06,1.66358752306708e-06
"848","White",42.5,1990,0.1,14,15157031,1947.5,6.41877781499833e-07,7.509703064164e-07,5.57545513849782e-07
"849","Black",47.5,1995,1.1,21,1878951,1947.5,7.07245039641074e-06,7.74893481595104e-06,4.64744629227508e-06
"850","White",47.5,1995,0.4,56,14969342,1947.5,2.62636319944236e-06,3.44445734809016e-06,1.98025880818233e-06
"851","Black",52.5,2000,3.5,67,1900101,1947.5,2.89338820935108e-05,3.20471448782991e-05,1.76191318182082e-05
"852","White",52.5,2000,1.3,192,15022352,1947.5,1.14642839360079e-05,1.53810343129992e-05,8.33963461546211e-06
"853","Black",57.5,2005,10.7,199,1855877,1947.5,0.000106212671060036,0.000117739008481933,6.38294450303123e-05
"854","White",57.5,2005,3.7,544,14747676,1947.5,3.99143153014188e-05,5.35625655068353e-05,2.88716215563539e-05
"855","Black",62.5,2010,22.7,401,1769716,1947.5,0.000304809259671726,0.000337244411708703,0.000183381329404565
"856","White",62.5,2010,8.4,1208,14301886,1947.5,0.00011117635181505,0.000148651499634453,8.03977606934553e-05
"857","Black",22.5,1971,0,0,1995204,1948.5,0,0,0
"858","White",22.5,1971,0,0,15416737,1948.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"859","Black",27.5,1976,0,0,1985876,1948.5,0,0,0
"860","White",27.5,1976,0,0,15798410,1948.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"861","Black",32.5,1981,0,0,2074154,1948.5,0,0,0
"862","White",32.5,1981,0,0,16079472,1948.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"863","Black",37.5,1986,0,0,2053430,1948.5,4.80287299206919e-07,4.90452891900445e-07,4.449429806398e-07
"864","White",37.5,1986,0,0,15877260,1948.5,1.39718789892834e-07,1.42067697674902e-07,1.37913804840146e-07
"865","Black",42.5,1991,0,0,2059232,1948.5,1.93071505847873e-06,2.03934972929586e-06,1.54445922972606e-06
"866","White",42.5,1991,0.1,18,15918197,1948.5,6.20852027807018e-07,7.509703064164e-07,5.20151391000627e-07
